geometry_model,metric,model,n_points,n_states,n_strings,plot_prefix,scratchpad_mode,seed,task,value
trained,kmeans_purity_true_state,direct,13770,2,800,parity_direct_trained_seed3,none,3,parity,0.5232389251997095
trained,kmeans_silhouette,direct,13770,2,800,parity_direct_trained_seed3,none,3,parity,0.3998306393623352
trained,within_state_distance,direct,13770,2,800,parity_direct_trained_seed3,none,3,parity,12.514822006225586
trained,between_state_distance,direct,13770,2,800,parity_direct_trained_seed3,none,3,parity,12.527382850646973
trained,between_within_ratio,direct,13770,2,800,parity_direct_trained_seed3,none,3,parity,1.0010036774326585
trained,umap_available_and_plotted,direct,13770,2,800,parity_direct_trained_seed3,none,3,parity,1.0
random_init,pca_explained_variance_pc1,direct,13770,2,800,parity_direct_random_init_seed3,none,3,parity,0.663658082485199
random_init,pca_explained_variance_pc2,direct,13770,2,800,parity_direct_random_init_seed3,none,3,parity,0.10844583809375763
random_init,pca_explained_variance_sum2,direct,13770,2,800,parity_direct_random_init_seed3,none,3,parity,0.7721039056777954
random_init,kmeans_ari_true_state,direct,13770,2,800,parity_direct_random_init_seed3,none,3,parity,0.0029737969885946076
random_init,kmeans_nmi_true_state,direct,13770,2,800,parity_direct_random_init_seed3,none,3,parity,0.002197558996255305
random_init,kmeans_purity_true_state,direct,13770,2,800,parity_direct_random_init_seed3,none,3,parity,0.5275962236746551
random_init,kmeans_silhouette,direct,13770,2,800,parity_direct_random_init_seed3,none,3,parity,0.565922737121582
random_init,within_state_distance,direct,13770,2,800,parity_direct_random_init_seed3,none,3,parity,14.756525039672852
random_init,between_state_distance,direct,13770,2,800,parity_direct_random_init_seed3,none,3,parity,14.794299125671387
random_init,between_within_ratio,direct,13770,2,800,parity_direct_random_init_seed3,none,3,parity,1.002559822579976
random_init,umap_available_and_plotted,direct,13770,2,800,parity_direct_random_init_seed3,none,3,parity,1.0
trained,pca_explained_variance_pc1,cot_true,13770,2,800,parity_cot_true_trained_seed3,true,3,parity,0.8640256524085999
trained,pca_explained_variance_pc2,cot_true,13770,2,800,parity_cot_true_trained_seed3,true,3,parity,0.06585259735584259
trained,pca_explained_variance_sum2,cot_true,13770,2,800,parity_cot_true_trained_seed3,true,3,parity,0.9298782348632812
trained,kmeans_ari_true_state,cot_true,13770,2,800,parity_cot_true_trained_seed3,true,3,parity,0.9968069684613267
trained,kmeans_nmi_true_state,cot_true,13770,2,800,parity_cot_true_trained_seed3,true,3,parity,0.9914263671817325
trained,kmeans_purity_true_state,cot_true,13770,2,800,parity_cot_true_trained_seed3,true,3,parity,0.99920116194626
trained,kmeans_silhouette,cot_true,13770,2,800,parity_cot_true_trained_seed3,true,3,parity,0.7778409719467163
trained,within_state_distance,cot_true,13770,2,800,parity_cot_true_trained_seed3,true,3,parity,4.825787544250488
trained,between_state_distance,cot_true,13770,2,800,parity_cot_true_trained_seed3,true,3,parity,21.819894790649414
trained,between_within_ratio,cot_true,13770,2,800,parity_cot_true_trained_seed3,true,3,parity,4.521519977945558
trained,umap_available_and_plotted,cot_true,13770,2,800,parity_cot_true_trained_seed3,true,3,parity,1.0
random_init,pca_explained_variance_pc1,cot_true,13770,2,800,parity_cot_true_random_init_seed3,true,3,parity,0.5817040801048279
random_init,pca_explained_variance_pc2,cot_true,13770,2,800,parity_cot_true_random_init_seed3,true,3,parity,0.12489110231399536
random_init,pca_explained_variance_sum2,cot_true,13770,2,800,parity_cot_true_random_init_seed3,true,3,parity,0.7065951824188232
random_init,kmeans_ari_true_state,cot_true,13770,2,800,parity_cot_true_random_init_seed3,true,3,parity,0.0029737969885946076
random_init,kmeans_nmi_true_state,cot_true,13770,2,800,parity_cot_true_random_init_seed3,true,3,parity,0.002197558996255305
random_init,kmeans_purity_true_state,cot_true,13770,2,800,parity_cot_true_random_init_seed3,true,3,parity,0.5275962236746551
random_init,kmeans_silhouette,cot_true,13770,2,800,parity_cot_true_random_init_seed3,true,3,parity,0.5025503039360046
random_init,within_state_distance,cot_true,13770,2,800,parity_cot_true_random_init_seed3,true,3,parity,14.978616714477539
random_init,between_state_distance,cot_true,13770,2,800,parity_cot_true_random_init_seed3,true,3,parity,15.065600395202637
random_init,between_within_ratio,cot_true,13770,2,800,parity_cot_true_random_init_seed3,true,3,parity,1.005807190502513
random_init,umap_available_and_plotted,cot_true,13770,2,800,parity_cot_true_random_init_seed3,true,3,parity,1.0
trained,pca_explained_variance_pc1,cot_pad,13770,2,800,parity_cot_pad_trained_seed3,pad,3,parity,0.6227687001228333
